Year,Datetime,Stage,Stadium,City,Home.Team.Name,Home.Team.Goals,Away.Team.Goals,Away.Team.Name,Win.conditions,Attendance,RoundID,MatchID,Home.Team.Initials,Away.Team.Initials,lat,lon
1930,13 Jul 1930 - 15:00 ,Group 1,Pocitos,Montevideo ,France,4,1,Mexico, ,4444,rsixteen,1096,FRA,MEX,-34.9051,-56.15622
1930,13 Jul 1930 - 15:00 ,Group 4,Parque Central,Montevideo ,USA,3,0,Belgium, ,18346,rsixteen,1090,USA,BEL,-34.883,-56.158
1930,14 Jul 1930 - 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,2,1,Brazil, ,24059,rsixteen,1093,YUG,BRA,-34.883,-56.158
1930,14 Jul 1930 - 14:50 ,Group 3,Pocitos,Montevideo ,Romania,3,1,Peru, ,2549,rsixteen,1098,ROU,PER,-34.9051,-56.15622
1930,15 Jul 1930 - 16:00 ,Group 1,Parque Central,Montevideo ,Argentina,1,0,France, ,23409,rsixteen,1085,ARG,FRA,-34.883,-56.158
1930,16 Jul 1930 - 14:45 ,Group 1,Parque Central,Montevideo ,Chile,3,0,Mexico, ,9249,rsixteen,1095,CHI,MEX,-34.883,-56.158
1930,17 Jul 1930 - 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,4,0,Bolivia, ,18306,rsixteen,1092,YUG,BOL,-34.883,-56.158
1930,17 Jul 1930 - 14:45 ,Group 4,Parque Central,Montevideo ,USA,3,0,Paraguay, ,18306,rsixteen,1097,USA,PAR,-34.883,-56.158
1930,18 Jul 1930 - 14:30 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,1,0,Peru, ,57735,rsixteen,1099,URU,PER,-34.89468,-56.15279
1930,19 Jul 1930 - 12:50 ,Group 1,Estadio Centenario,Montevideo ,Chile,1,0,France, ,2000,rsixteen,1094,CHI,FRA,-34.89468,-56.15279
1930,19 Jul 1930 - 15:00 ,Group 1,Estadio Centenario,Montevideo ,Argentina,6,3,Mexico, ,42100,rsixteen,1086,ARG,MEX,-34.89468,-56.15279
1930,20 Jul 1930 - 13:00 ,Group 2,Estadio Centenario,Montevideo ,Brazil,4,0,Bolivia, ,25466,rsixteen,1091,BRA,BOL,-34.89468,-56.15279
1930,20 Jul 1930 - 15:00 ,Group 4,Estadio Centenario,Montevideo ,Paraguay,1,0,Belgium, ,12000,rsixteen,1089,PAR,BEL,-34.89468,-56.15279
1930,21 Jul 1930 - 14:50 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,4,0,Romania, ,70022,rsixteen,1100,URU,ROU,-34.89468,-56.15279
1930,22 Jul 1930 - 14:45 ,Group 1,Estadio Centenario,Montevideo ,Argentina,3,1,Chile, ,41459,rsixteen,1084,ARG,CHI,-34.89468,-56.15279
1930,26 Jul 1930 - 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Argentina,6,1,USA, ,72886,semi,1088,ARG,USA,-34.89468,-56.15279
1930,27 Jul 1930 - 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Uruguay,6,1,Yugoslavia, ,79867,semi,1101,URU,YUG,-34.89468,-56.15279
1930,30 Jul 1930 - 14:15 ,Final,Estadio Centenario,Montevideo ,Uruguay,4,2,Argentina, ,68346,final,1087,URU,ARG,-34.89468,-56.15279
1934,27 May 1934 - 16:30 ,Preliminary round,Stadio Benito Mussolini,Turin ,Austria,3,2,France,win after extra time ,16000,rsixteen,1104,AUT,FRA,45.04175,7.65001
1934,27 May 1934 - 16:30 ,Preliminary round,Giorgio Ascarelli,Naples ,Hungary,4,2,Egypt, ,9000,rsixteen,1119,HUN,EGY,40.85972,14.29333
1934,27 May 1934 - 16:30 ,Preliminary round,San Siro,Milan ,Switzerland,3,2,Netherlands, ,33000,rsixteen,1133,SUI,NED,45.47804,9.12392
1934,27 May 1934 - 16:30 ,Preliminary round,Littorale,Bologna ,Sweden,3,2,Argentina, ,14000,rsixteen,1102,SWE,ARG,44.49231,11.309667
1934,27 May 1934 - 16:30 ,Preliminary round,Giovanni Berta,Florence ,Germany,5,2,Belgium, ,8000,rsixteen,1108,GER,BEL,43.78074,11.28256
1934,27 May 1934 - 16:30 ,Preliminary round,Luigi Ferraris,Genoa ,Spain,3,1,Brazil, ,21000,rsixteen,1111,ESP,BRA,44.41645,8.95262
1934,27 May 1934 - 16:30 ,Preliminary round,Nazionale PNF,Rome ,Italy,7,1,USA, ,25000,rsixteen,1135,ITA,USA,41.92693,12.47231
1934,27 May 1934 - 16:30 ,Preliminary round,Littorio,Trieste ,Czechoslovakia,2,1,Romania, ,9000,rsixteen,1141,TCH,ROU,45.62388,13.79416
1934,31 May 1934 - 16:30 ,Quarter-finals,Stadio Benito Mussolini,Turin ,Czechoslovakia,3,2,Switzerland, ,12000,quart,1143,TCH,SUI,45.04175,7.65001
1934,31 May 1934 - 16:30 ,Quarter-finals,San Siro,Milan ,Germany,2,1,Sweden, ,3000,quart,1129,GER,SWE,45.47804,9.12392
1934,31 May 1934 - 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,1,1,Spain,"",35000,quart,1122,ITA,ESP,43.78074,11.28256
1934,31 May 1934 - 16:30 ,Quarter-finals,Littorale,Bologna ,Austria,2,1,Hungary, ,23000,quart,1106,AUT,HUN,44.49231,11.309667
1934,01 Jun 1934 - 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,1,0,Spain, ,43000,quart,1123,ITA,ESP,43.78074,11.28256
1934,03 Jun 1934 - 16:30 ,Semi-finals,San Siro,Milan ,Italy,1,0,Austria, ,35000,semi,1107,ITA,AUT,45.47804,9.12392
1934,03 Jun 1934 - 16:30 ,Semi-finals,Nazionale PNF,Rome ,Czechoslovakia,3,1,Germany, ,15000,semi,1130,TCH,GER,41.92693,12.47231
1934,07 Jun 1934 - 18:00 ,Match for third place,Giorgio Ascarelli,Naples ,Germany,3,2,Austria, ,7000,third,1105,GER,AUT,40.85972,14.29333
1934,10 Jun 1934 - 17:30 ,Final,Nazionale PNF,Rome ,Italy,2,1,Czechoslovakia,win after extra time ,55000,final,1134,ITA,TCH,41.92693,12.47231
1938,04 Jun 1938 - 17:00 ,First round,Parc des Princes,Paris ,Switzerland,1,1,Germany, ,27152,rsixteen,1165,SUI,GER,48.84138,2.25295
1938,05 Jun 1938 - 17:00 ,First round,Velodrome Municipale,Reims ,Hungary,6,0,Dutch East Indies, ,9000,rsixteen,1173,HUN,INH,49.24698,4.02444
1938,05 Jun 1938 - 17:00 ,First round,Stade Olympique,Colombes ,France,3,1,Belgium, ,30454,rsixteen,1146,FRA,BEL,48.92924,2.24786
1938,05 Jun 1938 - 17:00 ,First round,Stade Municipal,Toulouse ,Cuba,3,3,Romania, ,7000,rsixteen,1156,CUB,ROU,43.58321,1.43411
1938,05 Jun 1938 - 17:00 ,First round,Stade Velodrome,Marseilles ,Italy,2,1,Norway,win after extra time ,19000,rsixteen,1179,ITA,NOR,43.26962,5.39612
1938,05 Jun 1938 - 17:30 ,First round,Stade de la Meinau,Strasbourg ,Brazil,6,5,Poland,win after extra time ,13452,rsixteen,1150,BRA,POL,48.55994,7.75511
1938,05 Jun 1938 - 18:30 ,First round,Cavee Verte,Le Havre ,Czechoslovakia,3,0,Netherlands,win after extra time ,11000,rsixteen,1172,TCH,NED,49.50194,0.17111
1938,09 Jun 1938 - 18:00 ,First round,Stade Municipal,Toulouse ,Cuba,2,1,Romania, ,8000,rsixteen,1157,CUB,ROU,43.58321,1.43411
1938,09 Jun 1938 - 18:00 ,First round,Parc des Princes,Paris ,Switzerland,4,2,Germany, ,20025,rsixteen,1166,SUI,GER,48.84138,2.25295
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,1,1,Czechoslovakia,"",22021,quart,1152,BRA,TCH,44.82911,-0.59838
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Victor Boucquey,Lille ,Hungary,2,0,Switzerland, ,15000,quart,1175,HUN,SUI,50.6375,3.03611
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Fort Carree,Antibes ,Sweden,8,0,Cuba, ,7000,quart,1158,SWE,CUB,43.5912,7.12561
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Stade Olympique,Colombes ,Italy,3,1,France, ,58455,quart,1164,ITA,FRA,48.92924,2.24786
1938,14 Jun 1938 - 18:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,2,1,Czechoslovakia, ,18141,quart,1153,BRA,TCH,44.82911,-0.59838
1938,16 Jun 1938 - 18:00 ,Semi-finals,Parc des Princes,Paris ,Hungary,5,1,Sweden, ,20000,semi,1176,HUN,SWE,48.84138,2.25295
1938,16 Jun 1938 - 18:00 ,Semi-finals,Stade Velodrome,Marseilles ,Italy,2,1,Brazil, ,33000,semi,1149,ITA,BRA,43.26962,5.39612
1938,19 Jun 1938 - 17:00 ,Match for third place,Stade du Parc Lescure,Bordeaux ,Brazil,4,2,Sweden, ,12000,third,1151,BRA,SWE,44.82911,-0.59838
1938,19 Jun 1938 - 17:00 ,Final,Stade Olympique,Colombes ,Italy,4,2,Hungary, ,45000,final,1174,ITA,HUN,48.92924,2.24786
1950,24 Jun 1950 - 15:00 ,Group 1,Maracana-Estudio Jornalista Mario Filho,Rio De Janeiro ,Brazil,4,0,Mexico, ,81649,group,1187,BRA,MEX,-22.9122,-43.23008
1950,25 Jun 1950 - 15:00 ,Group 2,Maracana-Estudio Jornalista Mario Filho,Rio De Janeiro ,England,2,0,Chile, ,29703,group,1192,ENG,CHI,-22.9122,-43.23008
1950,25 Jun 1950 - 15:00 ,Group 2,Durival de Brito,Curitiba ,Spain,3,1,USA, ,9511,group,1208,ESP,USA,-25.43944,-49.25583
1950,25 Jun 1950 - 15:00 ,Group 3,Pacaembu,Sao Paulo ,Sweden,3,2,Italy, ,36502,group,1219,SWE,ITA,-23.54844,-46.66533
1950,25 Jun 1950 - 15:00 ,Group 1,Independencia,Belo Horizonte ,Yugoslavia,3,0,Switzerland, ,7336,group,1230,YUG,SUI,-19.90833,-43.91777
1950,28 Jun 1950 - 15:00 ,Group 1,Pacaembu,Sao Paulo ,Brazil,2,2,Switzerland, ,42032,group,1188,BRA,SUI,-23.54844,-46.66533
1950,28 Jun 1950 - 15:00 ,Group 1,Eucaliptos,Porto Alegre ,Yugoslavia,4,1,Mexico, ,11078,group,1225,YUG,MEX,-30.06166,-51.22722
1950,29 Jun 1950 - 15:00 ,Group 2,Maracana-Estudio Jornalista Mario Filho,Rio De Janeiro ,Spain,2,0,Chile, ,19790,group,1193,ESP,CHI,-22.9122,-43.23008
1950,29 Jun 1950 - 15:30 ,Group 3,Durival de Brito,Curitiba ,Sweden,2,2,Paraguay, ,7903,group,1228,SWE,PAR,-25.43944,-49.25583
1950,29 Jun 1950 - 15:00 ,Group 2,Independencia,Belo Horizonte ,USA,1,0,England, ,10151,group,1202,USA,ENG,-19.90833,-43.91777
1950,01 Jul 1950 - 15:00 ,Group 1,Maracana-Estudio Jornalista Mario Filho,Rio De Janeiro ,Brazil,2,0,Yugoslavia, ,142429,group,1191,BRA,YUG,-22.9122,-43.23008
1950,02 Jul 1950 - 15:00 ,Group 2,Maracana-Estudio Jornalista Mario Filho,Rio De Janeiro ,Spain,1,0,England, ,74462,group,1199,ESP,ENG,-22.9122,-43.23008
