player_name,years_played,lat,lon,country,goals_scored
Alex THEPOT,1930 1934,47.752,2.358,France,0
Oscar BONFIGLIO,1930,25.388,-103.061,Mexico,0
Marcel LANGILLER,1930,47.752,2.358,France,1
Juan CARRENO,1930,25.388,-103.061,Mexico,1
Ernest LIBERATI,1930,47.752,2.358,France,0
Rafael GARZA,1930,25.388,-103.061,Mexico,0
Andre MASCHINOT,1930,47.752,2.358,France,2
Hilario LOPEZ,1930,25.388,-103.061,Mexico,0
Etienne MATTLER,1930 1934 1938,47.752,2.358,France,0
Dionisio MEJIA,1930,25.388,-103.061,Mexico,0
Marcel PINEL,1930,47.752,2.358,France,0
Felipe ROSAS,1930,25.388,-103.061,Mexico,0
Alex VILLAPLANE,1930,47.752,2.358,France,0
Manuel ROSAS,1930,25.388,-103.061,Mexico,10
Lucien LAURENT,1930 1934,47.752,2.358,France,1
Jose RUIZ,1930,25.388,-103.061,Mexico,0
Marcel CAPELLE,1930,47.752,2.358,France,0
Alfredo SANCHEZ,1930,25.388,-103.061,Mexico,0
Augustin CHANTREL,1930,47.752,2.358,France,0
Efrain AMEZCUA,1930,25.388,-103.061,Mexico,0
Edmond DELFOUR,1930 1934 1938,47.752,2.358,France,0
Luis PEREZ,1930,25.388,-103.061,Mexico,0
Celestin DELMER,1930 1934,47.752,2.358,France,0
Isidoro SOTA,1930,25.388,-103.061,Mexico,0
Andre TASSIN,1930,47.752,2.358,France,0
Jesus CASTRO,1930,25.388,-103.061,Mexico,0
Nouma ANDOIRE,1930,47.752,2.358,France,0
Felipe OLIVARES,1930,25.388,-103.061,Mexico,0
Jean LAURENT,1930,47.752,2.358,France,0
Raimundo RODRIGUEZ,1930,25.388,-103.061,Mexico,0
Emile VEINANTE,1930 1934 1938,47.752,2.358,France,1
Roberto GAYON,1930,25.388,-103.061,Mexico,1
Francisco GARZA GUTIERREZ,1930,25.388,-103.061,Mexico,0
Jimmy DOUGLAS,1930,41.401,-97.781,USA,0
Arnold BADJOU,1930 1934 1938,50.696,4.795,Belgium,0
Tom FLORIE,1930 1934,41.401,-97.781,USA,1
Jean DE CLERQ,1930,50.696,4.795,Belgium,0
Jimmy GALLAGHER,1930 1934,41.401,-97.781,USA,0
Jan DIDDENS,1930,50.696,4.795,Belgium,0
Billy GONSALVES,1930 1934,41.401,-97.781,USA,0
Auguste HELLEMANS,1930 1934,50.696,4.795,Belgium,0
Bart McGHEE,1930,41.401,-97.781,USA,1
Nikolaas HOYDONCKX,1930,50.696,4.795,Belgium,0
